name,actual_price,discount_price,rating
,,,
,,,
,,,
,,,
,,,
"Lenovo IDEAPAD 15 12TH GEN, INTEL CORE I3 12GB RAM 256GB SSD 15.6""FHD WINDOWS 11+ Mouse","₦ 370,000","₦ 332,975",4.4 out of 5(5)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + MOUSE,"₦ 655,000","₦ 396,000",4.8 out of 5(9)
"Lenovo V14 AMD RYZEN 3 3250U 1TB 8GB RAM 14.0""SCREEN WINS 10 +FREE Mouse",,"₦ 260,500",4.4 out of 5(40)
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 120,000","₦ 90,000",
"Lenovo Ideapad  Intel Celeron 4GB RAM 1TB HDD 15.6"" Wins 10pro",,"₦ 193,800",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 550,000","₦ 375,000",4 out of 5(2)
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,,"₦ 105,000",
Anti Blue Ray Light Blocking Glasses For Computers / Phones,"₦ 5,000","₦ 3,499",
Lenovo V15 Intel Core I3 8GB RAM 1TB HDD Wins 10 Pro +Free Led Lamp,"₦ 315,500","₦ 275,500",4.1 out of 5(11)
Hp ELITEBOOK X360 1030 G3 8TH GEN TOUCH CORE I5 16GB RAM/ 512GB SSD BACKLIT FP READER WIN 11 PRO,"₦ 600,000","₦ 460,000",
DELL Latitude 3150 Intel Pentium 500GB HDD 8GB RAM Wins 10 + Bag,"₦ 250,000","₦ 160,000",
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 280,000","₦ 199,000",
Hp Stream 11 Pro G5 Intel Celeron Touchscreen   4GB DDR4 RAM 128GB SSD  Windows 10 + Bag,,"₦ 300,000",5 out of 5(1)
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 180,000","₦ 105,000",
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 550,000","₦ 360,000",
Hp 15 TOUCHSCREEN 12TH GEN INTEL CORE I5 16GB RAM 512GB SSD BACKLIT KEYBOARD WINS 11,"₦ 650,000","₦ 630,000",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 575,000","₦ 375,000",3.9 out of 5(11)
"Hp Pavilion 15 X360 11th Gen Intel Core™ I7,16GB RAM 1TB SSD, Touch, Backlit Keyboard, Wins 11","₦ 980,000","₦ 940,000",
"DELL LATITUDE 3150, INTEL PENTIUM,8GB RAM,500GB HDD + LIGHT WIN 10 PRO","₦ 200,000","₦ 165,000",4 out of 5(2)
Lenovo Ideapad Intel Celeron 64GB SSD 4GB Ram+pouch Mouse,"₦ 195,000","₦ 120,000",
