name,actual_price,discount_price,rating,brand,processor,ram,storage_type,storage_size
"Hp PROBOOK 11 X360, TOUCHSCREEN, 4GB RAM, 128GB SSD, INTEL PENTIUM, Windows 10  + Keyboard Flashlight",200000.0,180000.0,4.7,Hp,,4GB RAM,SSD,4GB
Hp EliteBook 840 G5 Intel Core I5- 8GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,360000.0,4.8,Hp,Intel Core,8GB RAM,SSD,8GB
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,390000.0,103000.0,4.4,Hp,Intel Celeron,4GB RAM,SSD,4GB
Lenovo AMD RYZEN 3 3250U 1TB HDD 8GB RAM -Wins 10+ Mouse,278550.0,260000.0,4.2,Lenovo,Lenovo AMD,8GB RAM,HDD,1TB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Wins 11 Pro Laptop +BAG,550300.0,375000.0,3.7,Hp,Intel Core,16GB RAM,SSD,16GB
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light",210000.0,170000.0,4.3,DELL,Intel Pentium,8GB RAM,HDD,8GB
Lenovo Ideapad 15 Inch Intel® Celeron® 4GB RAM DDR4 - 256 SSD Windows 11 +USB LIGHT & 32GB Flash,290000.0,250000.0,3.5,Lenovo,,4GB RAM,SSD,4GB
Hp Stream 11 Laptop-  Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,170000.0,103000.0,4.1,Hp,Intel Celeron,4GB RAM,SSD,64GB
"Asus TUF DASH INTEL CORE I5, 16GB RAM, 512GB SSD 15.6"" GTX 1650 (4GB) WINS 10",850000.0,733500.0,4.5,Asus,,16GB RAM,SSD,16GB
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,214999.0,103000.0,3.9,Hp,Intel Celeron,4GB RAM,SSD,64GB
Hp Stream 11 Pro G5 Intel Celeron Touchscreen   4GB DDR4 RAM 128GB SSD WIN 10 Pro + Flash,250000.0,130000.0,3.2,Hp,Intel Celeron,4GB DDR4,SSD,4GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,390000.0,350000.0,4.1,Hp,Intel Core,16GB RAM,SSD,16GB
"Hp 14 Intel Celeron N4020 8GB 1TB HDD 14"" Wins 10",262000.0,239000.0,4.8,Hp,Intel Celeron,,HDD,8GB
Lenovo Ideapad Intel Celeron (4GB RAM 500GB HDD) Wins 10+ 32GB FLASH,196000.0,185000.0,4.7,Lenovo,Intel Celeron,4GB RAM,HDD,4GB
Hp Notebook 15 INTEL CELERON 16GB RAM -1TB HDD Windows 11+USB Light For Keyboard & HP Mouse,390000.0,348000.0,4.5,Hp,,16GB RAM,HDD,16GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,690000.0,515000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11 Intel Celeron Quad Core 4GB RAM   64GB SSD Windows 10 + USD LIGHT & POUCH,220000.0,103000.0,3.9,Hp,Intel Celeron,4GB RAM,SSD,4GB
"Hp 15 Intel Pentium Silver (8GB RAM,1 TB HDD),Wins10",325000.0,290000.0,4.2,Hp,Intel Pentium,8GB RAM,HDD,8GB
Hp Stream 11 Intel Celeron Quad Core 4GB RAM   64GB SSD Windows 10 + USD LIGHT,399000.0,103000.0,3.7,Hp,Intel Celeron,4GB RAM,SSD,4GB
Hp Laptop 15 INTEL CELERON Quad Core 8GB RAM -1TB HDD Windows 11 + USB Light For Keyboard,401999.0,280000.0,3.3,Hp,Quad Core,8GB RAM,HDD,8GB
Hp EliteBook 840 G5 Intel Core I5-8GB RAM 256GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,500000.0,350000.0,4.4,Hp,Intel Core,8GB RAM,SSD,8GB
Hp ProBook 11 X360- TOUCH- 128GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,195000.0,184000.0,4.3,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,128GB
Hp Laptop 15 INTEL CELERON Quad Core 8GB RAM -1TB HDD Windows 10 PRO + USB Light For Keyboard,300999.0,300000.0,3.3,Hp,Quad Core,8GB RAM,HDD,8GB
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,140900.0,130000.0,2.5,Hp,Intel Celeron,4GB RAM,SSD,4GB
"Lenovo Ideapad Intel Celeron 4GB RAM 1TB HDD 15.6"" Windows 10",215000.0,193000.0,4.5,Lenovo,Intel Celeron,4GB RAM,HDD,4GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Wins 11 Pro Laptop +BAG,584400.0,375000.0,4.7,Hp,Intel Core,16GB RAM,SSD,16GB
"Lenovo Intel Celeron, 128GB, 4GB, Wins 10 Mini Laptop 11.6 Inches",186000.0,175000.0,4.5,Lenovo,Intel Celeron,,,128GB
"itel Able 1 Intel® Celeron™ N3350, 4GB RAM 1TB HDD 14"" Wins 10+ Wireless Mouse",187500.0,165000.0,4.5,itel,,4GB RAM,HDD,4GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro,440000.0,395000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
PU Leather Waterproof Mouse Pad:For Laptop Users 90x45cm,11200.0,8900.0,3.7,PU,,,,
Hp Notebook 15 - Intel Core I3 -8GB RAM 1TB HDD 11TH GEN- Windows 11 +USB Light For Keyboard & Mouse,400999.0,400000.0,3.5,Hp,Intel Core,8GB RAM,HDD,8GB
Hp EliteBook 840 G5 Intel Core I5-8GB RAM 256GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,500000.0,350000.0,4.5,Hp,Intel Core,8GB RAM,SSD,8GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,375000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,780000.0,550000.0,4.4,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11 Pro- Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ BAG,170000.0,103000.0,3.7,Hp,Intel Celeron,4GB RAM,HDD,4GB
